filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
B71example1.fast5	21f689a0-40c7-4964-8a94-d62f76b54797	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	479	2	36362.503000	62.464250	49971	TRUE	36362.958000	49607	62.009250	24298	13.475449	3.094872	76.496346	9.671952	76.496346	9.671952
B71example0.fast5	e446fb9e-182c-460f-927f-b5124a59e492	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	444	2	111184.270500	57.762500	46210	TRUE	111184.398000	46108	57.635000	18718	16.370754	2.964303	82.299515	10.199512	82.299515	10.199512
B71example0.fast5	cbf3ea1a-7369-42d8-be98-b51f07bcee5a	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	462	1	32738.199000	148.999750	119199	TRUE	32738.381500	119053	148.817250	54295	14.950363	3.071053	77.023911	9.847805	77.023911	9.847805
B71example1.fast5	ac487358-7205-4d8d-bad7-051be57669da	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	97	4	51738.127250	71.055500	56844	TRUE	51738.207250	56780	70.975500	25577	12.989836	3.002220	80.013420	10.199512	80.013420	10.199512
B71example1.fast5	ac8af055-d9d7-4c23-8c24-88b3b3f457fc	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	481	3	98180.982250	32.043500	25634	TRUE	98181.109750	25532	31.916000	10466	15.625433	2.975720	80.365128	9.847805	80.365128	9.847805
B71example0.fast5	abb9dc45-08c6-4192-bbda-7bb1dc2a49f4	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	392	4	72490.293000	182.776750	146221	TRUE	72490.744250	145860	182.325500	55049	14.146038	2.875948	74.386101	9.496099	74.386101	9.496099
B71example0.fast5	e5c13739-ca58-4e60-b5f1-5be66a567dfa	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	435	3	44290.506250	82.310000	65848	TRUE	44290.508750	65846	82.307500	27678	14.804152	3.000916	81.771957	10.199512	81.771957	10.199512
B71example0.fast5	ae872141-d728-43c7-8f65-625ac1f563f9	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	480	4	24865.855750	29.406750	23525	TRUE	24865.942000	23456	29.320500	9549	14.432903	2.956569	77.023911	10.551220	77.023911	10.551220
B71example0.fast5	fb36c6fa-864e-4420-915b-7a0bd1400d75	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	262	4	69124.656250	32.820250	26256	TRUE	69124.772500	26163	32.704000	10863	15.322643	2.977947	83.002930	10.199512	83.002930	10.199512
B71example1.fast5	e5baf8d2-7c5d-45ed-90bc-e1e4d1aaf9e6	6c174770bb18c3fe1359860d3aeb87b3e8fc498a	0	203	3	73876.405500	71.714500	57371	TRUE	73876.588000	57225	71.532000	24519	11.064849	2.940179	72.100006	9.847805	72.100006	9.847805
